ndc11,state,year,quarter,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,amount_per_unit,amount_per_rx,prev_units,units_yoy_growth
206845525,XX,2024,3,59.0,37.0,0.0,0.0,0.0,0.0,0.0,157.0,-0.6242038216560509
206845525,XX,2024,4,38.0,28.0,0.0,0.0,0.0,0.0,0.0,174.0,-0.7816091954022989
206885208,LA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885208,MS,2024,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NC,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NC,2023,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NE,2023,3,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NY,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NY,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NY,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885208,XX,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885208,XX,2024,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,AK,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2023,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,FL,2022,2,93.0,16.0,241.35,48.6,192.75,2.5951612903225807,15.084375,,
206885216,FL,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2024,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,KY,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,KY,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,KY,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,KY,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,LA,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885216,MA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,MO,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,MS,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,MS,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,MS,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,MS,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NC,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NC,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NC,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NC,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NC,2023,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,NC,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,NC,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,NC,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,NC,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,NC,2024,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,NH,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NH,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NV,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NV,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NV,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NV,2023,4,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NY,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NY,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NY,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NY,2024,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,NY,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,NY,2024,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,OK,2024,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,VA,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,VA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,VA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,VA,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885216,VA,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,VA,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,XX,2022,1,17.5,11.0,154209.46,154209.46,0.0,8811.969142857142,14019.041818181817,,
206885216,XX,2022,2,100.5,24.0,837.37,644.62,192.75,8.332039800995025,34.89041666666667,,
206885216,XX,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,XX,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885216,XX,2023,1,0.0,0.0,0.0,0.0,0.0,,,17.5,-1.0
206885216,XX,2023,2,28.0,12.0,8608.25,8603.29,4.96,307.4375,717.3541666666666,100.5,-0.7213930348258707
206885216,XX,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,XX,2023,4,26.0,11.0,8591.34,8585.29,6.05,330.43615384615384,781.0309090909091,0.0,
206885216,XX,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,XX,2024,2,0.0,0.0,0.0,0.0,0.0,,,28.0,-1.0
206885216,XX,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,XX,2024,4,0.0,0.0,0.0,0.0,0.0,,,26.0,-1.0
206885408,CO,2022,2,11.0,11.0,265.54,265.54,0.0,24.14,24.14,,
206885408,FL,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885408,FL,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885408,FL,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885408,FL,2023,3,0.0,0.0,0.0,0.0,0.0,,,,
206885408,FL,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,KY,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
