brand_name,generic_name,total_manufacturers,manufacturer,total_spending,total_dosage_units,total_claims,total_beneficiaries,avg_spend_per_unit,avg_spend_per_claim,avg_spend_per_bene,outlier_flag,year
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Meitheal Pharma,,,,,,,,,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Hospira/Pfizer,545542.21,407051.233,3923.0,1698.0,2.2850027946,139.06250574,321.2851649,1,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Premi,43132.71,34580.0,439.0,185.0,1.7625019279,98.252186788,233.14978378,1,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Novap,129636.39,92404.06,770.0,256.0,1.4029295899,168.35894805,506.39214844,1,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius Kabi,439523.44,77128.37,2200.0,885.0,5.7785440883,199.78338182,496.63665537,0,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,"Civica, Inc.",,,,,,,,,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Bluepoint Labor,,,,,,,,,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Auromedics-Eugi,1868604.62,1722128.798,9619.0,4339.0,1.0837867031,194.26183803,430.65328878,0,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Athenex Pharmac,89421.24,34980.906,370.0,176.0,2.5190895158,241.67902703,508.07522727,1,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Armas Pharmaceu,,,,,,,,,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App/Fresenius K,2070984.47,788729.647,8362.0,2753.0,2.6409142466,247.66616479,752.26460952,0,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App-Premierpro,98383.36,11674.595,783.0,315.0,30.617066467,125.64924649,312.32812698,1,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apotex Corp,2752676.52,1667672.128,13116.0,4761.0,2.1154964521,209.87164684,578.17192187,0,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apollo/Provepha,619530.96,851050.197,5126.0,2139.0,3.4736516144,120.86050722,289.63579243,0,2020
