ndc11,state,year,quarter,drug_name,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,utilization_type,labeler_code,product_code,package_size,suppression_used,quarter_begin_date
00206886102,CA,2022,1,ZOSYN 3.37,640.0,166.0,10738.6,2907.52,7831.08,MCOU,00206,8861,02,false,2022-01-01
00206886102,CA,2022,1,ZOSYN 3.37,245.02,25.0,5184.05,5184.05,0.0,FFSU,00206,8861,02,false,2022-01-01
00206886201,CA,2022,1,ZOSYN 4.5G,,,,,,FFSU,00206,8862,01,true,2022-01-01
00206886201,CA,2022,1,ZOSYN 4.5G,59.0,13.0,207.0,207.0,0.0,MCOU,00206,8862,01,false,2022-01-01
00206886202,CA,2022,1,ZOSYN 4.5G,105.25,84.0,1228.8,1228.8,0.0,MCOU,00206,8862,02,false,2022-01-01
00206886202,CA,2022,1,ZOSYN 4.5G,91.0,15.0,2378.98,2378.98,0.0,FFSU,00206,8862,02,false,2022-01-01
00206886101,CO,2022,4,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-10-01
00206886102,CO,2022,4,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-10-01
00206886101,CO,2022,3,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-07-01
00206886102,CO,2022,3,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-07-01
00206886201,CO,2022,3,ZOSYN     ,,,,,,FFSU,00206,8862,01,true,2022-07-01
00206886202,CO,2022,3,ZOSYN     ,,,,,,FFSU,00206,8862,02,true,2022-07-01
00206885408,CO,2022,2,ZOSYN     ,11.0,11.0,265.54,265.54,0.0,FFSU,00206,8854,08,false,2022-04-01
00206885416,CO,2022,2,ZOSYN     ,12.0,12.0,289.68,289.68,0.0,FFSU,00206,8854,16,false,2022-04-01
00206885508,CO,2022,2,ZOSYN     ,,,,,,FFSU,00206,8855,08,true,2022-04-01
00206885516,CO,2022,2,ZOSYN     ,,,,,,FFSU,00206,8855,16,true,2022-04-01
00206886101,CO,2022,2,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-04-01
00206886101,CO,2022,2,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-04-01
00206886102,CO,2022,2,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-04-01
00206886201,CO,2022,2,ZOSYN     ,,,,,,FFSU,00206,8862,01,true,2022-04-01
00206886202,CO,2022,2,ZOSYN     ,,,,,,MCOU,00206,8862,02,true,2022-04-01
00206885416,CO,2022,1,ZOSYN     ,,,,,,FFSU,00206,8854,16,true,2022-01-01
00206885516,CO,2022,1,ZOSYN     ,,,,,,FFSU,00206,8855,16,true,2022-01-01
00206886102,CO,2022,1,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-01-01
00206886201,CO,2022,1,ZOSYN     ,,,,,,FFSU,00206,8862,01,true,2022-01-01
00206886202,CO,2022,1,ZOSYN     ,,,,,,FFSU,00206,8862,02,true,2022-01-01
00206886202,CT,2022,4,ZOSYN 4.5G,182.0,15.0,4781.01,4781.01,0.0,FFSU,00206,8862,02,false,2022-10-01
00206886102,CT,2022,3,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-07-01
00206886202,CT,2022,3,ZOSYN 4.5G,,,,,,FFSU,00206,8862,02,true,2022-07-01
00206886102,CT,2022,2,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-04-01
00206886202,CT,2022,2,ZOSYN 4.5G,,,,,,FFSU,00206,8862,02,true,2022-04-01
00206886102,CT,2022,1,ZOSYN 3.37,256.0,31.0,5516.05,5516.05,0.0,FFSU,00206,8861,02,false,2022-01-01
00206886202,CT,2022,1,ZOSYN 4.5G,212.0,18.0,5554.27,5554.27,0.0,FFSU,00206,8862,02,false,2022-01-01
00206886101,DC,2022,4,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-10-01
00206886101,DC,2022,3,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-07-01
00206886102,DC,2022,3,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-07-01
00206886101,DC,2022,2,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-04-01
